,Causa_Direta,Natureza,Interrupcao (h),Hora
0,Casos Fortuitos ou de Força Maior,Colisão,0.0,16
1,Casos Fortuitos ou de Força Maior,Abalroamento,1.5,6
2,Falha Humana,Colisão,9.0,20
3,Via Permanente,Descarrilamento,28.0,16
4,Casos Fortuitos ou de Força Maior,Atropelamento,1.4,7
5,Via Permanente,Descarrilamento,24.0,15
6,Casos Fortuitos ou de Força Maior,Abalroamento,0.5,20
7,Casos Fortuitos ou de Força Maior,Abalroamento,1.7,21
8,Casos Fortuitos ou de Força Maior,Atropelamento,1.9,6
9,Casos Fortuitos ou de Força Maior,Abalroamento,1.2,17
10,Casos Fortuitos ou de Força Maior,Abalroamento,1.3,1
11,Casos Fortuitos ou de Força Maior,Abalroamento,0.6,10
12,Casos Fortuitos ou de Força Maior,Abalroamento,0.2,2
13,Casos Fortuitos ou de Força Maior,Atropelamento,2.5,3
14,Casos Fortuitos ou de Força Maior,Atropelamento,1.3,15
15,Casos Fortuitos ou de Força Maior,Atropelamento,0.0,1
16,Casos Fortuitos ou de Força Maior,Atropelamento,0.2,19
17,Casos Fortuitos ou de Força Maior,Descarrilamento,6.5,21
18,Interferência de Terceiro,Abalroamento,0.1,12
19,Casos Fortuitos ou de Força Maior,Descarrilamento,15.0,3
20,Casos Fortuitos ou de Força Maior,Descarrilamento,6.1,12
21,Casos Fortuitos ou de Força Maior,Abalroamento,1.7,20
22,Via Permanente,Descarrilamento,5.2,0
23,Casos Fortuitos ou de Força Maior,Atropelamento,0.0,2
24,Material Rodante,Descarrilamento,0.0,1
25,Via Permanente,Descarrilamento,14.5,5
26,Material Rodante,Descarrilamento,12.4,6
27,Material Rodante,Descarrilamento,1.0,11
28,Casos Fortuitos ou de Força Maior,Abalroamento,0.4,13
29,Casos Fortuitos ou de Força Maior,Abalroamento,0.0,16
30,Via Permanente,Descarrilamento,10.8,13
31,Casos Fortuitos ou de Força Maior,Atropelamento,2.0,19
32,Via Permanente,Descarrilamento,22.0,22
33,Casos Fortuitos ou de Força Maior,Atropelamento,2.0,3
34,Casos Fortuitos ou de Força Maior,Abalroamento,1.0,8
35,Casos Fortuitos ou de Força Maior,Atropelamento,0.3,15
36,Casos Fortuitos ou de Força Maior,Atropelamento,3.3,4
37,Via Permanente,Descarrilamento,30.0,5
38,Interferência de Terceiro,Abalroamento,0.6,9
39,Casos Fortuitos ou de Força Maior,Abalroamento,2.9,12
40,Interferência de Terceiro,Abalroamento,0.0,16
41,Casos Fortuitos ou de Força Maior,Atropelamento,2.4,19
42,Casos Fortuitos ou de Força Maior,Abalroamento,2.0,3
43,Casos Fortuitos ou de Força Maior,Abalroamento,0.2,16
44,Casos Fortuitos ou de Força Maior,Descarrilamento,4.1,23
45,Casos Fortuitos ou de Força Maior,Atropelamento,0.0,6
46,Casos Fortuitos ou de Força Maior,Abalroamento,3.9,15
47,Casos Fortuitos ou de Força Maior,Abalroamento,0.5,3
48,Via Permanente,Descarrilamento,14.0,16
49,Casos Fortuitos ou de Força Maior,Colisão,1.2,18
50,Casos Fortuitos ou de Força Maior,Atropelamento,0.9,12
51,Interferência de Terceiro,Atropelamento,3.0,4
52,Interferência de Terceiro,Abalroamento,0.2,11
53,Interferência de Terceiro,Abalroamento,0.0,11
54,Casos Fortuitos ou de Força Maior,Colisão,0.3,17
55,Via Permanente,Descarrilamento,37.0,4
56,Interferência de Terceiro,Abalroamento,0.4,16
57,Interferência de Terceiro,Atropelamento,1.1,17
58,Via Permanente,Descarrilamento,2.0,3
59,Interferência de Terceiro,Abalroamento,0.0,6
60,Material Rodante,Descarrilamento,4.9,14
61,Interferência de Terceiro,Abalroamento,2.4,3
62,Interferência de Terceiro,Abalroamento,2.5,15
63,Interferência de Terceiro,Abalroamento,0.0,18
64,Interferência de Terceiro,Abalroamento,0.2,21
65,Interferência de Terceiro,Abalroamento,1.3,16
66,Interferência de Terceiro,Abalroamento,1.5,22
67,Interferência de Terceiro,Abalroamento,3.3,16
68,Interferência de Terceiro,Abalroamento,1.3,17
69,Interferência de Terceiro,Atropelamento,0.0,23
70,Interferência de Terceiro,Atropelamento,0.0,6
71,Via Permanente,Descarrilamento,4.0,11
72,Interferência de Terceiro,Atropelamento,1.5,20
73,Via Permanente,Descarrilamento,20.4,7
74,Interferência de Terceiro,Atropelamento,0.0,19
75,Interferência de Terceiro,Abalroamento,0.2,20
76,Via Permanente,Descarrilamento,6.8,21
77,Via Permanente,Descarrilamento,4.9,6
78,Interferência de Terceiro,Atropelamento,0.7,18
79,Via Permanente,Descarrilamento,5.3,18
80,Via Permanente,Descarrilamento,0.0,4
81,Interferência de Terceiro,Abalroamento,1.1,19
82,Via Permanente,Descarrilamento,3.2,8
83,Interferência de Terceiro,Atropelamento,1.0,17
84,Interferência de Terceiro,Atropelamento,1.2,21
85,Interferência de Terceiro,Abalroamento,1.0,23
86,Interferência de Terceiro,Abalroamento,1.0,4
87,Interferência de Terceiro,Atropelamento,1.1,21
88,Interferência de Terceiro,Atropelamento,1.0,0
89,Interferência de Terceiro,Atropelamento,2.5,14
90,Via Permanente,Descarrilamento,12.8,16
91,Interferência de Terceiro,Abalroamento,0.0,11
92,Interferência de Terceiro,Abalroamento,0.0,0
93,Interferência de Terceiro,Abalroamento,3.5,0
94,Interferência de Terceiro,Abalroamento,0.8,11
95,Via Permanente,Descarrilamento,29.5,14
96,Interferência de Terceiro,Abalroamento,0.5,17
97,Interferência de Terceiro,Atropelamento,0.0,22
98,Interferência de Terceiro,Abalroamento,0.0,12
99,Interferência de Terceiro,Atropelamento,1.0,13
100,Via Permanente,Descarrilamento,17.0,21
101,Interferência de Terceiro,Atropelamento,3.1,6
102,Material Rodante,Descarrilamento,5.5,21
103,Interferência de Terceiro,Abalroamento,1.8,22
104,Via Permanente,Descarrilamento,59.2,2
105,Interferência de Terceiro,Atropelamento,0.0,9
106,Interferência de Terceiro,Abalroamento,2.5,0
107,Via Permanente,Descarrilamento,0.0,22
108,Via Permanente,Descarrilamento,18.5,6
109,Material Rodante,Descarrilamento,12.1,6
110,Material Rodante,Descarrilamento,5.4,17
111,Interferência de Terceiro,Abalroamento,0.0,21
112,Interferência de Terceiro,Atropelamento,0.0,16
113,Interferência de Terceiro,Abalroamento,0.0,16
114,Interferência de Terceiro,Abalroamento,3.9,17
115,Via Permanente,Descarrilamento,9.9,21
116,Interferência de Terceiro,Abalroamento,0.9,21
117,Interferência de Terceiro,Abalroamento,0.4,1
118,Via Permanente,Descarrilamento,40.5,4
119,Interferência de Terceiro,Abalroamento,0.9,18
120,Interferência de Terceiro,Atropelamento,1.2,1
121,Interferência de Terceiro,Abalroamento,0.0,6
122,Interferência de Terceiro,Atropelamento,0.5,8
123,Via Permanente,Descarrilamento,15.5,15
124,Material Rodante,Incêndio,0.0,23
125,Interferência de Terceiro,Abalroamento,1.1,13
126,Via Permanente,Descarrilamento,20.0,13
127,Interferência de Terceiro,Atropelamento,0.4,18
128,Interferência de Terceiro,Abalroamento,1.1,20
129,Interferência de Terceiro,Abalroamento,4.8,17
130,Interferência de Terceiro,Abalroamento,3.2,11
131,Via Permanente,Descarrilamento,11.8,14
132,Interferência de Terceiro,Atropelamento,2.3,20
133,Casos Fortuitos ou de Força Maior,Abalroamento,0.8,21
134,Interferência de Terceiro,Atropelamento,1.1,3
135,Interferência de Terceiro,Abalroamento,1.4,17
136,Interferência de Terceiro,Abalroamento,0.5,7
137,Interferência de Terceiro,Abalroamento,1.9,11
138,Interferência de Terceiro,Abalroamento,2.1,22
139,Interferência de Terceiro,Abalroamento,0.0,22
140,Via Permanente,Descarrilamento,34.5,6
141,Via Permanente,Descarrilamento,28.5,3
142,Interferência de Terceiro,Abalroamento,0.1,8
143,Interferência de Terceiro,Abalroamento,0.1,22
144,Interferência de Terceiro,Atropelamento,0.9,7
145,Falha Humana,Colisão,2.5,11
146,Interferência de Terceiro,Atropelamento,2.3,23
147,Falha Humana,Descarrilamento,3.0,1
148,Interferência de Terceiro,Atropelamento,1.5,17
149,Casos Fortuitos ou de Força Maior,Atropelamento,2.9,18
150,Interferência de Terceiro,Abalroamento,0.9,11
151,Interferência de Terceiro,Abalroamento,2.4,12
152,Interferência de Terceiro,Atropelamento,521.0,16
153,Via Permanente,Descarrilamento,21.3,15
154,Via Permanente,Descarrilamento,40.0,8
155,Interferência de Terceiro,Atropelamento,0.2,12
156,Via Permanente,Descarrilamento,21.5,16
157,Via Permanente,Descarrilamento,6.5,20
158,Interferência de Terceiro,Atropelamento,1.9,22
159,Via Permanente,Descarrilamento,5.0,17
160,Via Permanente,Descarrilamento,0.0,7
161,Interferência de Terceiro,Abalroamento,0.0,18
162,Interferência de Terceiro,Abalroamento,0.0,9
163,Interferência de Terceiro,Abalroamento,0.7,9
164,Interferência de Terceiro,Abalroamento,1.0,19
165,Interferência de Terceiro,Atropelamento,3.2,23
166,Material Rodante,Descarrilamento,10.3,3
167,Interferência de Terceiro,Atropelamento,0.0,11
168,Interferência de Terceiro,Abalroamento,0.8,22
169,Interferência de Terceiro,Atropelamento,0.0,19
170,Falha Humana,Atropelamento,1.1,2
171,Via Permanente,Descarrilamento,0.0,4
172,Interferência de Terceiro,Abalroamento,0.3,14
173,Interferência de Terceiro,Atropelamento,0.0,15
